"locations","locations_id","clubhouse_id","bgc_facillitator_name","bgc_facillitator_email","bgc_facillitator_phone_number"
"San Francisco","location_id_3770","ch_id_5353","Hilton, Meyah","HiltonMeyah@bgc.com","362-683-3412"
"San Francisco","location_id_3770","ch_id_8311","Rivas, Nickoles","RivasNickoles@bgc.com","247-524-4123"
"San Francisco","location_id_3770","ch_id_4333","Phetchamphone, Robert","PhetchamphoneRobert@bgc.com","759-941-2895"
"San Francisco","location_id_3770","ch_id_5918","el-Lodi, Azza","el-LodiAzza@bgc.com","762-172-1423"
"San Francisco","location_id_3770","ch_id_2532","Cusick, Danielle","CusickDanielle@bgc.com","219-951-4268"
"Los Angeles","location_id_3319","ch_id_6624","Pilgreen, Charles","PilgreenCharles@bgc.com","487-425-7269"
"Los Angeles","location_id_3319","ch_id_8939","el-Jamal, Lubaaba","el-JamalLubaaba@bgc.com","954-674-7965"
"Los Angeles","location_id_3319","ch_id_3523","al-Fawaz, Tareef","al-FawazTareef@bgc.com","954-394-4268"
"Los Angeles","location_id_3319","ch_id_4586","Radosevich, Mallory","RadosevichMallory@bgc.com","571-854-7892"
"San Diego","location_id_5970","ch_id_7862","Heuman, Michelle","HeumanMichelle@bgc.com","548-364-4921"
"San Diego","location_id_5970","ch_id_7021","Obrien, Stephanie","ObrienStephanie@bgc.com","426-839-3628"
"San Diego","location_id_5970","ch_id_2841","Duran, Dionna","DuranDionna@bgc.com","394-824-4713"
"Sacramento","location_id_1507","ch_id_4217","Reyes, Tayara","ReyesTayara@bgc.com","932-749-7163"
"Sacramento","location_id_1507","ch_id_4235","el-Othman, Nazeeha","el-OthmanNazeeha@bgc.com","312-125-2647"
"Sacramento","location_id_1507","ch_id_7212","Newberry, Deion","NewberryDeion@bgc.com","917-731-7345"
"Sacramento","location_id_1507","ch_id_5822","Zade, Gavin","ZadeGavin@bgc.com","598-695-2357"
"Santa Cruz","location_id_5216","ch_id_7397","Clark, Kyle","ClarkKyle@bgc.com","729-719-8173"
"Santa Cruz","location_id_5216","ch_id_5845","el-Farhat, Usaama","el-FarhatUsaama@bgc.com","749-892-1724"
"Santa Cruz","location_id_5216","ch_id_7740","Woodard, Mea","WoodardMea@bgc.com","183-387-1952"
